,count,keyword
joe,2,False
jogando,2,False
jornal,4,False
jovens,2,False
junto,2,False
justiça,4,False
lacrimogêneo,2,False
lado,2,False
lados,6,False
lançar,2,False
lazzarini,1,False
libanês,4,False
líbano,2,False
liberdade,2,False
lidassem,2,False
líderes,2,False
limitar,1,False
lindo,2,False
local,7,False
logo,2,False
los,2,False
maio,1,False
maioria,2,False
mais,21,False
maneiras,2,False
manhã,2,False
manifestantes,2,False
mas,15,False
matou,1,False
mediado,2,False
médico,1,False
medidas,2,False
médio,2,False
meio,2,False
membro,2,False
menos,2,False
mesquita,2,False
mesquitas,2,False
mil,2,False
milhares,1,False
militante,4,False
militantes,5,False
militares,5,False
ministério,3,False
ministro,6,False
missão,1,False
molotov,2,False
morador,2,False
morreram,2,False
mortas,9,False
mortos,2,False
motim,2,False
motoristas,2,False
movimento,2,False
mudou,2,False
mulheres,3,False
mundo,4,False
muçulmanos,2,False
naim,2,False
não,8,False
nações,1,False
necessário,2,False
nem,4,False
nesta,6,False
neste,1,False
netanyahu,12,False
noite,4,False
normalidade,1,False
nota,2,False
notícias,2,False
nova,2,False
novamente,2,False
novas,5,False
novos,1,False
números,1,False
objetivo,4,False
ocasionaram,1,False
ocupada,1,False
of,2,False
ofensiva,4,False
onu,3,False
onze,1,False
operação,4,False
oportunidade,2,False
orar,2,False
orações,2,False
ordenou,2,False
organização,1,False
organizações,2,False
órgão,2,False
oriental,1,False
oriente,2,False
ou,2,False
ousadas,2,False
pacientes,2,False
país,2,False
palestina,3,False
palestino,12,False
palestinos,19,False
papa,2,False
parar,2,False
passo,4,False
paz,6,False
pede,1,False
pediu,1,False
pedras,2,False
pensei,2,False
perdão,2,False
perdas,1,False
pessoas,9,False
philippe,1,False
podemos,2,False
poderíamos,2,False
poderosa,2,False
põe,1,False
polícia,4,False
policiais,6,False
policial,2,False
política,2,False
políticas,2,False
político,2,False
políticos,4,False
porta,2,False
possível,2,False
posso,2,False
post,2,False
povo,2,False
prazo,1,False
precedentes,2,False
prefeitos,2,False
premiê,2,False
presidente,2,False
primeiro,4,False
profundas,2,False
progresso,2,False
pronunciamento,2,False
próxima,2,False
psicológicos,1,False
público,2,False
públicos,1,False
quando,1,False
quase,2,False
questão,1,False
quinta,4,False
realidade,2,False
reaparecem,1,False
recente,1,False
recolhem,1,False
recomendação,2,False
reconstrução,2,False
rede,2,False
refugiados,1,False
região,2,False
registrados,1,False
regras,2,False
reivindicam,2,False
reivindicando,2,False
relações,2,False
rendeu,2,False
repercussões,2,False
reshiq,2,False
resistência,6,False
resposta,2,False
restaurar,2,False
restrições,2,False
retaliação,1,False
retirar,1,False
retomarão,2,False
reuters,4,False
revelada,2,False
rezem,2,False
rezo,2,False
rodada,2,False
ruas,2,False
sabem,2,False
saber,2,False
sagrados,2,False
santo,2,False
saúde,3,False
sderot,2,False
segurança,2,False
seguras,2,False
seja,2,False
sejam,2,False
semanas,1,False
será,2,False
serviço,1,False
serviços,1,False
severo,2,False
sexta,10,False
sido,2,False
solo,2,False
solucionar,1,False
solução,1,False
subterrâneos,2,False
sucesso,2,False
suspendeu,2,False
também,5,False
tel,4,False
temos,2,False
tempo,4,False
tensão,1,False
tenta,2,False
ter,3,False
terá,2,False
teríamos,2,False
termina,2,False
terminaram,2,False
termine,2,False
terrestre,2,False
território,3,False
terroristas,2,False
testemunhas,2,False
teve,2,False
times,2,False
tomando,2,False
tomaram,2,False
tratamento,1,False
traumas,1,False
trégua,11,False
trouxe,2,False
túneis,2,False
unanimemente,2,False
unidas,1,False
unidos,2,False
unrwa,1,False
vaticano,2,False
velha,3,False
verdade,2,False
vida,1,False
vigor,2,False
violência,5,False
vitória,14,False
vivemos,2,False
voltar,1,False
voos,2,False
voz,2,False
xiita,2,False
